"name","prompt","negative_prompt","description","category"
"LIGHTING_Underwater","underwater lighting, caustics, blue green water light, light refraction, bubbles, aquatic atmosphere","outdoor dry, indoor","Underwater atmosphere. Combos: SCENE_Hot_Spring; STYLE_Watercolor_Wash; OUTFIT_Swimwear.","LIGHTING"
"LIGHTING_Volumetric_Rays","volumetric light rays, god rays, light shafts, sunbeams through trees, ethereal rays, dust particles in light","flat, overcast, dim","Magical light shafts. Combos: ACTIVITY_Magic_Casting; SCENE_Forest_Outdoor; SCENE_Fantasy_Ruins.","LIGHTING"
"MOOD_Amused","(amused expression:1.3), (entertained:1.2), watching with amusement, slight smile of amusement, quietly pleased by something, entertained look","bored, angry, scared, serious","Quietly amused. Combos: EXPRESSION_Knowing_Smirk; ACTIVITY_Reading; SCENE_Library; MOOD_Mysterious.","MOOD"
"MOOD_Anticipation","(anticipation:1.1), eager expectation, building excitement, on the edge of something, charged moment before action","satisfied, relaxed, post-event","Tense anticipation before an event. Combos: POSE_Action_Strike; EXPRESSION_Focused_Intense; MOOD_Tense.","MOOD"
"MOOD_Bittersweet","(bittersweet mood:1.1), mixed emotions, happy and sad, something ending, poignant moment, emotional complexity","purely happy, purely sad","Bittersweet emotional tone. Combos: MOOD_Nostalgic; EXPRESSION_Crying_Happy; ATMOSPHERE_Season_Autumn_Leaves.","MOOD"
"MOOD_Confident","confident expression, (strong pose:1.2), assertive, self-assured, power stance, direct gaze, chin up","shy, timid, scared, withdrawn","Confident dominant mood. Combos: ARCHETYPE_Demon_Queen; OUTFIT_Business_Suit; BODY_Tall_Elegant. Conflicts: MOOD_Shy.","MOOD"
"MOOD_Cunning","(cunning expression:1.2), sly look, scheming face, clever plotting, sharp cunning gaze, calculating","naive, innocent, bored","Cunning/scheming mood. Combos: ARCHETYPE_Hacker_Netrunner; EXPRESSION_Villainous_Smile; MOOD_Predatory.","MOOD"
"MOOD_Determined","(determined mood:1.2), resolute, unwavering, focused intensity, eyes forward, mission-ready, battle will","relaxed, uncertain, lost","Determination mood. Combos: ACTIVITY_Fighting_Pose; ARCHETYPE_Warrior; BODY_Muscular_Fit.","MOOD"
"MOOD_Dreamy","(dreamy expression:1.2), soft unfocused gaze, lost in thought, daydreaming, faraway look, gentle dreamy smile, starry eyes, wistful dreaming","sharp, alert, focused, fierce","Dreamy distant mood. Combos: PALETTE_Soft_Pastel; LIGHTING_Soft_Warm; SEASON_Spring_Cherry.","MOOD"
"MOOD_Elegant","elegant expression, (refined smile:1.2), graceful, poised, sophisticated, aristocratic bearing, serene confidence","rough, messy, chaotic, casual, sporty","Refined elegant mood. Combos: OUTFIT_Evening_Dress; BODY_Tall_Elegant; SCENE_Ballroom. Conflicts: MOOD_Playful.","MOOD"
"MOOD_Euphoric","(euphoric expression:1.2), pure elation, overwhelming joy, ecstatic happiness, on top of the world feeling","sad, serious, tense","Extreme happiness/elation. Combos: ACTIVITY_Celebrating; POSE_Victory_Arms_Up; SCENE_New_Year_Fireworks.","MOOD"
"MOOD_Excited","(excited expression:1.2), bright eyes, big smile, energetic expression, thrilled look, enthusiastic, sparkling eyes, happy excitement","calm, serious, stoic, melancholic","Excited/thrilled mood. Combos: ARCHETYPE_Idol; ACTIVITY_Dancing; ATMOSPHERE_Magical_Sparkles.","MOOD"
"MOOD_Exhausted","(exhausted expression:1.2), dark circles under eyes, tired eyes, burnout look, drained expression, bags under eyes","energetic, bright, cheerful","Burnout/exhaustion mood. Combos: SCENE_Office; OUTFIT_Business_Suit; ACTIVITY_Sitting_Relaxed.","MOOD"
"MOOD_Fierce","fierce expression, (battle aura:1.2), intense glare, battle-ready, determined anger, warrior spirit, sharp eyes","gentle, shy, cute, playful","Battle-ready fierce mood. Combos: ARCHETYPE_Warrior; ACTIVITY_Fighting_Pose; BODY_Muscular_Fit. Conflicts: MOOD_Shy.","MOOD"
"MOOD_Focused","focused expression, (intense concentration:1.2), determined focus, eyes locked on target, deep in thought focus, task-oriented expression, absorbed","distracted, laughing, sleepy","Deep focus mood. Combos: ACTIVITY_Reading; ARCHETYPE_Scientist; ARCHETYPE_Hacker_Netrunner.","MOOD"
"MOOD_Haunted","haunted expression, (traumatized look:1.2), hollow eyes, thousand yard stare, ghost of past, shell-shocked, deeply disturbed, empty stare","happy, cheerful, bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality","Haunted/traumatized mood. Combos: THEME_Horror_Psychological; SCENE_Abandoned_Hospital.","MOOD"
"MOOD_Longing","(longing gaze:1.2), yearning look, distant longing, wistful want, deep desire from afar, pining","satisfied, content","Yearning/longing mood. Combos: EXPRESSION_Sad_Lonely; MOOD_Melancholic; SCENE_Rainy_Window; ATMOSPHERE_Weather_Gentle_Rain.","MOOD"
"MOOD_Melancholic","melancholic expression, (sad eyes:1.2), wistful, distant look, pensive, thoughtful sorrow, gentle tears, lonely","cheerful, laughing, energetic","Melancholy emotional mood. Combos: SCENE_Forest_Outdoor; LIGHTING_Dramatic_Shadow; STYLE_Soft_Pastel. Conflicts: MOOD_Playful.","MOOD"
"MOOD_Mysterious","mysterious expression, (enigmatic smile:1.2), half-lidded eyes, knowing look, secretive, aloof, distant gaze","cheerful, open, expressive, laughing","Enigmatic mysterious mood. Combos: ARCHETYPE_Witch; SCENE_Forest_Outdoor; LIGHTING_Dim_Dark. Conflicts: MOOD_Playful.","MOOD"
"MOOD_Nostalgic","(nostalgic expression:1.3), (reminiscing:1.2), looking into distance nostalgically, wistful smile, fond memory expression, longing nostalgic gaze","present-focused, alert, no emotion","Nostalgic/wistful. Combos: SCENE_Park_Bench_Autumn; ATMOSPHERE_Season_Autumn_Leaves; POSE_Looking_Back; MOOD_Melancholic.","MOOD"
"MOOD_Playful","playful expression, (bright smile:1.2), winking, mischievous grin, energetic, lively, tongue out slightly, happy","serious, cold, stoic, melancholic","Fun playful mood. Combos: ARCHETYPE_Catgirl; ACTIVITY_Dancing; OUTFIT_Casual. Conflicts: MOOD_Melancholic.","MOOD"
"MOOD_Predatory","(predatory expression:1.2), hunter watching prey, cold calculation, stalking gaze, apex predator energy, dangerous calm, locked on target","friendly, warm, bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality","Predatory hunter mood. Combos: ARCHETYPE_Assassin; ARCHETYPE_Vampire_Hunter; THEME_Horror_Slasher.","MOOD"
"MOOD_Protective","(protective stance:1.2), shielding posture, guarding another, protective determination, defensive care, standing between","alone, relaxed, passive","Protective posture. Combos: RELATIONSHIP_Master_Student; ARCHETYPE_Knight; EXPRESSION_Determined.","MOOD"
"MOOD_Resigned","(resigned expression:1.1), accepting the inevitable, weary resignation, quiet surrender, done fighting, tired acceptance","fighting, hopeful, determined","Quiet resignation/acceptance. Combos: MOOD_Exhausted; EXPRESSION_Stoic_Blank; ATMOSPHERE_Ash_Falling.","MOOD"
"MOOD_Reverent","(reverent expression:1.2), awe and respect, sacred feeling, in the presence of something greater, worshipful, humble awe, devotion","dismissive, bored, bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality","Reverent/awestruck mood. Combos: RACE_Angel; SCENE_Ancient_Temple_Interior; THEME_Fantasy_Mythology.","MOOD"
"MOOD_Righteous_Fury","(righteous anger:1.2), holy rage, justified fury, moral anger, outrage, righteous wrath, defending the innocent energy, noble anger","calm, neutral, bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality","Righteous fury mood. Combos: ARCHETYPE_Male_Priest; ARCHETYPE_Exorcist; THEME_Fantasy_Adventure.","MOOD"
"MOOD_Serene","serene expression, peaceful smile, calm eyes, tranquil, at ease, meditative, gentle warmth, inner peace","aggressive, fierce, anxious, chaotic","Peaceful serene mood. Combos: SCENE_Hot_Spring; SEASON_Spring_Cherry; LIGHTING_Soft_Warm. Conflicts: MOOD_Fierce.","MOOD"
"MOOD_Shy","shy expression, (blushing:1.2), fidgeting, looking away, timid, embarrassed smile, hand to cheek, downcast eyes","confident, dominant, aggressive, cold","Cute shy mood. Combos: BODY_Petite_Small; OUTFIT_School_Uniform; ARCHETYPE_Idol. Conflicts: MOOD_Confident.","MOOD"
"MOOD_Sleepy","sleepy expression, half-closed eyes, drowsy, tired eyes, yawning, sleepy smile, groggy, just woke up look, pillow marks on face","energetic, alert, fierce","Sleepy/drowsy mood. Combos: ACTIVITY_Sitting_Relaxed; SCENE_Bedroom; OUTFIT_Oversized_Hoodie. Conflicts: MOOD_Fierce.","MOOD"
"MOOD_Tense","(tense expression:1.3), (on edge:1.2), muscles tense, alert tension, braced for impact, nervous energy, coiled tension, anticipating threat","relaxed, calm, serene","Tense/on edge. Combos: ARCHETYPE_Assassin; SCENE_Dark_Forest_Path; ACTIVITY_Fighting_Pose; EFFECTS_VFX_Bloom_Glow.","MOOD"
"MOOD_Wonder","(sense of wonder:1.2), awestruck, amazement, wide-eyed wonder, discovering something incredible, enchanted gaze","bored, cynical, stoic","Childlike wonder/amazement. Combos: SCENE_Crystal_Cave; SCENE_Floating_Islands; ATMOSPHERE_Aurora_Borealis.","MOOD"
"OUTFIT_Avant_Garde","(avant-garde fashion:1.3), high fashion, geometric silhouette, architectural outfit, runway fashion, experimental clothing, sculptural garment, oversized shapes, fashion-forward","casual, plain, armor, uniform","Avant-garde high fashion. Combos: PALETTE_High_Contrast; COMPOSITION_Symmetry; MOOD_Confident. Conflicts: OUTFIT_Casual.","OUTFIT"
"OUTFIT_Boho","(bohemian outfit:1.2), boho fashion, flowy skirt, embroidered top, layered necklaces, bohemian style, free spirit clothing, macrame accessories, earthy boho","formal, structured, armor, uniform","Bohemian free-spirit fashion. Combos: SCENE_Forest_Outdoor; SEASON_Summer_Beach; MOOD_Serene.","OUTFIT"
"OUTFIT_Business_Suit","(business suit:1.2), blazer, dress shirt, trousers or pencil skirt, tie or scarf, formal professional, heels","casual, fantasy, armor, school uniform","Professional business attire. Combos: ARCHETYPE_Office_Lady; SCENE_Office; MOOD_Confident. Conflicts: OUTFIT_Fantasy_Armor.","OUTFIT"
"OUTFIT_Casual","casual clothes, jeans, t-shirt, sneakers, everyday outfit, relaxed clothing, comfortable wear","formal, armor, fantasy, uniform, nude","Everyday casual. Combos: SCENE_Cafe; MOOD_Playful; ACTIVITY_Reading. Works with all BODY types.","OUTFIT"
"OUTFIT_Cottagecore","(cottagecore:1.2), floral dress, linen apron, cottage aesthetic, prairie dress, pastoral fashion, soft rural","urban, cyberpunk, armor, dark","Cottagecore pastoral. Combos: SCENE_Forest_Outdoor; SEASON_Spring_Cherry; MOOD_Serene.","OUTFIT"
"OUTFIT_Cyberpunk","(cyberpunk outfit:1.3), neon accents, tech wear, visor, holographic accessories, futuristic jacket, circuit patterns, cyber implants","fantasy, medieval, kimono, casual","Cyberpunk aesthetic. Combos: SCENE_Cyberpunk_City; LIGHTING_Neon_Purple_Pink; STYLE_Action_Game_Art. Conflicts: OUTFIT_Traditional_Japanese.","OUTFIT"
"OUTFIT_Dark_Academia","(dark academia:1.2), tweed, plaid skirt, turtleneck, blazer, oxford shoes, scholarly aesthetic, muted tones","bright colors, casual, fantasy","Dark academia aesthetic. Combos: SCENE_Library; ACTIVITY_Reading; MOOD_Mysterious.","OUTFIT"
"OUTFIT_Denim_Shorts_Mini","(very short denim shorts:1.3), (micro denim cutoffs:1.2), ultra short jeans, daisy dukes, tiny denim, cropped denim shorts","long shorts, full coverage, below knee","Micro denim shorts. Casual summer fashion. Combos: SCENE_Beach; ARCHETYPE_Gyaru_SFW; LIGHTING_Golden_Hour_Sunset.","OUTFIT"
"OUTFIT_Evening_Dress","(elegant evening dress:1.3), gown, formal dress, off-shoulder dress, slit dress, evening wear, sophisticated","casual, sporty, armor, uniform, torn","Formal elegance. Combos: BODY_Hourglass_Perfect; MOOD_Elegant; SCENE_Ballroom. Conflicts: OUTFIT_Sportswear.","OUTFIT"
"OUTFIT_Fairycore","(fairycore:1.2), floral fairy outfit, gossamer wings, flower crown, ethereal pastel, nature fairy, whimsical","dark, armor, urban, cyberpunk","Fairycore whimsical fashion. Combos: STYLE_Soft_Pastel; SCENE_Forest_Outdoor; RACE_Angel.","OUTFIT"
"OUTFIT_Fantasy_Armor","(fantasy armor:1.3), plate armor, pauldrons, gauntlets, greaves, fantasy warrior outfit, ornate armor, battle gear","modern clothes, casual, office, school uniform","Fantasy battle armor. Combos: ARCHETYPE_Warrior; SCENE_Fantasy_Ruins; MOOD_Determined. Conflicts: OUTFIT_Casual.","OUTFIT"
"OUTFIT_Gothic","(gothic outfit:1.3), black lace dress, corset, dark clothing, choker, fishnet, victorian gothic, dark accessories","pastel, bright colors, sporty, swimwear","Gothic fashion. Combos: MOOD_Mysterious; SCENE_Gothic_Castle; STYLE_Dark_Gothic; LIGHTING_Dramatic_Shadow. Conflicts: OUTFIT_Swimwear.","OUTFIT"
"OUTFIT_Hanfu","(hanfu:1.3), traditional chinese hanfu, flowing hanfu robes, cross-collar hanfu, ancient chinese clothing, dynasty clothing, silk hanfu, ru skirt","modern, western, armor, casual","Chinese hanfu dynasty clothing. Combos: ERA_Feudal_Japan (adapt); MOOD_Elegant; SCENE_Japanese_Night.","OUTFIT"
"OUTFIT_Historical_Armor","(plate armor:1.2), full armor, historical armor, pauldrons, breastplate, gauntlets, greaves, visor, armored knight","modern, casual, fantasy light armor","Full historical armor. Combos: ERA_Medieval_Fantasy; BODY_Muscular_Fit; ACTIVITY_Fighting_Pose.","OUTFIT"
"OUTFIT_Hooded_Cloak","(hooded cloak:1.3), long cloak with hood, hood up or down, traveler cloak, mystery cloak, dark cloak, fantasy traveler outfit, cowl","modern, bright casual, office","Hooded cloak/traveler. Combos: ARCHETYPE_Assassin; SCENE_Forest_Outdoor; WEATHER_Dense_Fog.","OUTFIT"
"OUTFIT_Lab_Coat","(lab coat:1.2), white lab coat, laboratory coat, scientist coat, lab coat over casual clothes, open lab coat, medical professional look","fantasy, armor, formal evening","Lab coat. Combos: ARCHETYPE_Scientist; ARCHETYPE_Alchemist; LIGHTING_Bright_Clinical.","OUTFIT"
"OUTFIT_Lolita_Gothic","(gothic lolita:1.3), black lolita dress, lace trim, petticoat, bonnet, lolita fashion, frilly gothic dress, platform shoes, cross accessories","casual, sporty, minimalist, armor","Gothic lolita fashion. Combos: MOOD_Mysterious; STYLE_Dark_Gothic; SCENE_Gothic_Castle. Conflicts: OUTFIT_Sportswear.","OUTFIT"
"OUTFIT_Mecha_Pilot","(pilot suit:1.3), mecha pilot, eva suit, cockpit suit, futuristic pilot uniform, interface suit, neural link suit, sci-fi pilot outfit","medieval, fantasy, casual, historic","Mecha/sci-fi pilot suit. Combos: ERA_Retro_Futurism; ARCHETYPE_Space_Pilot; LIGHTING_Screen_Glow.","OUTFIT"
"OUTFIT_Metallic_Halter_Gown","(metallic halter gown:1.4), (sleeveless metallic dress:1.3), liquid metal dress, chrome halter neckline, high slit, skin-tight metallic fabric, reflective gown, holographic sheen","casual, cotton, loose, no metallic","Metallic/holographic halter gown — high fashion statement piece. Combos: ARCHETYPE_Idol; SCENE_Night_Club; LIGHTING_Neon_Colorful; BODY_Tall_Amazon (SFW); ATMOSPHERE_Luxurious.","OUTFIT"
"OUTFIT_Nomad_Desert","(desert nomad wraps:1.2), linen wraps, head scarf, travel-worn robes, Middle Eastern or North African inspired, flowing desert clothing","bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality","Desert nomad outfit. Combos: ARCHETYPE_Nomad; SCENE_Desert_Oasis; SCENE_Silk_Road_Caravan.","OUTFIT"
"OUTFIT_Oversized_Hoodie","(oversized hoodie:1.2), large hoodie, cozy hoodie, sleeves too long, hoodie dress length, comfortable casual, soft fabric hoodie","formal, armor, fantasy, tight","Cozy oversized hoodie. Combos: MOOD_Shy; ACTIVITY_Gaming; SEASON_Winter_Snow. Very approachable casual.","OUTFIT"
"OUTFIT_Plague_Doctor","(plague doctor outfit:1.2), beak mask, long black coat, leather gloves, Victorian medical horror, apothecary, dark physician","bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality","Plague doctor outfit. Horror or historical. Combos: THEME_Horror_Supernatural; SCENE_Victorian_Street.","OUTFIT"
"OUTFIT_Prisoner","(prison uniform:1.2), orange jumpsuit or striped, handcuffs, prisoner number, incarcerated, jail clothes, captured state","bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality","Prisoner outfit. Combos: THEME_Horror_Slasher; SCENE_Underground_Dungeon; MOOD_Melancholic.","OUTFIT"
"OUTFIT_Qipao_Elegant","(qipao:1.4), (cheongsam:1.3), chinese dress, form-fitting chinese gown, mandarin collar, silk qipao, traditional chinese outfit, side slit dress","western, casual, plain, no mandarin collar","Elegant qipao/cheongsam. SFW version — tasteful slit, traditional aesthetic. Combos: SCENE_Japanese_Night; LIGHTING_Candlelight; HAIR_Bun; ARCHETYPE_Scholar; ATMOSPHERE_Mysterious.","OUTFIT"
"OUTFIT_Royal_Ceremonial","(royal ceremonial dress:1.2), crown, ermine trim, royal robes, scepter, formal monarchy attire, coronation dress, regal ceremonial","bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality","Royal ceremonial outfit. Combos: ARCHETYPE_Male_King; ARCHETYPE_Princess; SCENE_Royal_Palace_Hall.","OUTFIT"
"OUTFIT_School_Uniform","school uniform, sailor uniform, blazer uniform, pleated skirt, school bag, knee-high socks, student outfit","adult professional, armor, fantasy, nude","Japanese school uniform. Combos: SCENE_School_Classroom; MOOD_Shy; BODY_Petite_Small. Conflicts: OUTFIT_Evening_Dress.","OUTFIT"
"OUTFIT_Sportswear","sportswear, (athletic wear:1.2), sports bra, yoga pants, leggings, running shoes, gym outfit, activewear","formal, armor, fantasy, skirt, dress","Athletic wear. Combos: BODY_Muscular_Fit; ACTIVITY_Stretching; SCENE_Gym. Conflicts: OUTFIT_Evening_Dress.","OUTFIT"
"OUTFIT_Streetwear","streetwear, hoodie, baggy pants, sneakers, cap, oversized jacket, urban fashion, graphic tee, layered outfit","formal, armor, fantasy, dress","Urban street style. Combos: SCENE_City_Alley; LIGHTING_Neon_Purple_Pink; MOOD_Confident. Conflicts: OUTFIT_Evening_Dress.","OUTFIT"
"OUTFIT_Swimwear","swimsuit, one-piece swimsuit, bikini, beach attire, sun hat, sunglasses, summer wear","armor, formal, winter clothes, heavy clothing","Beach/pool wear. Combos: SCENE_Beach; LIGHTING_Golden_Hour_Sunset; SEASON_Summer. Conflicts: OUTFIT_Winter_Coat.","OUTFIT"
"OUTFIT_Tactical_Military","(tactical military gear:1.2), combat vest, multicam uniform, military boots, plate carrier, soldier equipment, tactical loadout","bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality","Modern tactical/military outfit. Combos: ARCHETYPE_Soldier_Modern; SCENE_WW2_Trench.","OUTFIT"
"OUTFIT_Techwear","(techwear:1.3), tactical jacket, straps and buckles, functional pockets, urban techwear, dark tech fashion, cargo","formal, fantasy, casual plain","Techwear tactical fashion. Combos: SCENE_Cyberpunk_City; LIGHTING_Neon_Purple_Pink; MOOD_Confident.","OUTFIT"
"OUTFIT_Traditional_Chinese","(cheongsam:1.3), qipao, traditional chinese dress, silk qipao, mandarin collar, floral embroidery, form-fitting traditional dress, chinese clothing","western, casual, fantasy armor","Chinese cheongsam/qipao. Combos: ERA_Feudal_Japan (adapt); MOOD_Mysterious; LIGHTING_Candlelight. Conflicts: OUTFIT_Cyberpunk.","OUTFIT"
"OUTFIT_Traditional_Indian","(sari:1.3), indian sari, silk sari, bindi, bangles, traditional indian clothing, embroidered sari, draped fabric, gold jewelry","western, casual, armor, modern","Indian sari. Combos: MOOD_Elegant; LIGHTING_Golden_Hour_Sunset; ACCESSORY_Jewelry_Elegant. Conflicts: OUTFIT_Sportswear.","OUTFIT"
"OUTFIT_Traditional_Japanese","(kimono:1.3), obi belt, geta sandals, traditional japanese clothing, floral pattern, hakama optional, furisode","modern clothes, western, armor, casual","Traditional kimono/yukata. Combos: SCENE_Japanese_Night; SEASON_Spring_Cherry; LIGHTING_Soft_Warm. Conflicts: OUTFIT_Sportswear.","OUTFIT"
"OUTFIT_Traditional_Korean","(hanbok:1.3), traditional korean dress, silk hanbok, jeogori jacket, chima skirt, traditional korean clothing, embroidered fabric, colorful hanbok","modern, western, fantasy armor, casual","Korean hanbok. Combos: SCENE_Japanese_Night (adapt for Korean setting); SEASON_Spring_Cherry; MOOD_Elegant. Conflicts: OUTFIT_Cyberpunk.","OUTFIT"
"OUTFIT_Winter_Coat","(winter coat:1.2), warm coat, scarf, gloves, beanie hat, winter fashion, cozy outfit, fur trim, long coat","swimwear, summer clothes, bikini, bare arms","Winter cozy fashion. Combos: SEASON_Winter_Snow; MOOD_Shy; ACTIVITY_Reading. Conflicts: OUTFIT_Swimwear.","OUTFIT"
"PALETTE_Autumn_Warm","(warm autumn palette:1.2), orange red brown tones, fall color scheme, amber warm, burnt orange palette","cool blue, winter, neon","Warm autumn color palette. Combos: ATMOSPHERE_Season_Autumn_Leaves; SCENE_Park_Bench_Autumn; MOOD_Nostalgic.","PALETTE"
"PALETTE_Black_Gold","(black and gold palette:1.2), dark black with gold accents, luxury black gold, golden highlights on black","pastels, rainbow, desaturated","Black and gold luxury palette. Combos: ARCHETYPE_Demon_Queen; OUTFIT_Royal_Ceremonial; MOOD_Elegant; LIGHTING_Candlelight.","PALETTE"
"PALETTE_Cold_Blue","(cold blue palette:1.2), icy blue tones, cool colors dominant, steel blue, arctic palette, cold atmosphere","warm, golden, earthy","Cold blue dominant palette. Combos: SEASON_Winter_Snow; LIGHTING_Night_Moonlit; MOOD_Melancholic.","PALETTE"
"PALETTE_Cool_Blue_Gray","(cool blue grey palette:1.2), cold desaturated tones, slate blue-grey, cool color temperature palette","warm, golden, autumn","Cool blue-grey desaturated palette. Combos: MOOD_Melancholic; SCENE_Frozen_Arctic_Ruins; LIGHTING_Blue_Cold.","PALETTE"
"PALETTE_Duotone","duotone color scheme, two-color palette, duotone print effect, high contrast two colors, (limited palette:1.2), graphic duotone","full color, multicolor, realistic","Two-color duotone effect. Combos: STYLE_Woodcut_Print; REGIONAL_French_Comic; any ARCHETYPE for graphic posters. Very striking.","PALETTE"
"PALETTE_High_Contrast","(high contrast:1.2), strong contrast, deep blacks, bright highlights, dramatic tonal range","low contrast, flat, washed out","High contrast drama. Combos: LIGHTING_Dramatic_Shadow; STYLE_Dark_Gothic; MOOD_Fierce.","PALETTE"
"PALETTE_Horror_Desaturated","(desaturated horror palette:1.2), grey-green tones, sickly desaturated, horror movie color grade, bleached colors, wrong pallor","bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality","Horror-specific desaturated palette. Combos: THEME_Horror_*; SCENE_Abandoned_Hospital.","PALETTE"
"PALETTE_Infrared","infrared photography style, false color infrared, glowing white foliage, magenta sky, surreal infrared color shift, infrared color palette","natural color, realistic tones","Infrared false color. Combos: SCENE_Forest_Outdoor; WEATHER_Windy; DYNAMICS_Wind_Hair_Clothes. Surreal nature shots.","PALETTE"
"PALETTE_Monochrome_Noir","(monochrome:1.2), black and white, noir, desaturated, grayscale with single accent color","colorful, vibrant, saturated","B&W noir palette. Combos: STYLE_Dark_Gothic; LIGHTING_Dramatic_Shadow; MOOD_Mysterious.","PALETTE"
"PALETTE_Muted_Desaturated","(desaturated:1.2), muted colors, low saturation, washed out, faded palette, subdued tones, earthy muted","vibrant, saturated, neon","Understated muted palette. Combos: MOOD_Melancholic; ERA_Post_Apocalyptic; STYLE_Sketch_Lineart.","PALETTE"
"PALETTE_Pastel_Rainbow","(pastel rainbow palette:1.2), soft rainbow colors, pastel multi-hue, gentle rainbow spectrum, light prismatic colors","dark, monochrome, muted","Soft pastel rainbow palette. Combos: ARCHETYPE_Magical_Girl; ARCHETYPE_Idol; STYLE_Soft_Pastel; MOOD_Playful.","PALETTE"
"PALETTE_Sakura_Pink","(sakura pink palette:1.2), cherry blossom pink tones, soft pink color scheme, blush and petal pink","dark, blue, autumn","Cherry blossom pink palette. Combos: ATMOSPHERE_Season_Spring_Cherry; SCENE_Cherry_Blossom_Path; MOOD_Dreamy; STYLE_Shojo_Dreamy.","PALETTE"
"PALETTE_Sepia","sepia tone, sepia photograph, warm brown tones, old photograph color, antique sepia filter, aged photo palette, brown monochrome","vibrant, saturated, neon, cold","Sepia vintage tone. Combos: ERA_Victorian; STYLE_Charcoal_Sketch; VFX_Film_Grain; REGIONAL_Nordic_Folklore.","PALETTE"
"PALETTE_Teal_Orange","teal and orange color grading, cinematic color grade, teal shadows orange highlights, Hollywood color grading, blockbuster color palette, film color grade","monochrome, pastel, flat","Hollywood teal-orange grade. Combos: STYLE_Action_Game_Art; SCENE_Cyberpunk_City; VFX_Film_Grain. Industry-standard cinematic look.","PALETTE"
"PALETTE_Vaporwave","(vaporwave:1.3), pastel purple pink cyan, 80s neon palette, synthwave colors, retrowave aesthetic, neon gradient","natural colors, earthy, muted","Vaporwave/synthwave palette. Combos: SCENE_Cyberpunk_City; LIGHTING_Neon_Purple_Pink; STYLE_90s_Retro.","PALETTE"
"PALETTE_Vintage_Faded","(vintage faded film:1.2), faded photograph colors, old photo tones, film photography fade, analog warmth, nostalgic color cast","bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality","Vintage/old photograph palette. Combos: STYLE_70s_Grindhouse; STYLE_80s_VHS; PALETTE_Sepia.","PALETTE"
"PALETTE_Warm_Earth","(warm earthy tones:1.2), amber, sienna, terracotta, brown tones, warm palette, golden tones","cold, blue, neon, desaturated","Warm earthy palette. Combos: SCENE_Forest_Outdoor; SEASON_Autumn_Leaves; MOOD_Serene.","PALETTE"
"POSE_Action_Strike","(mid-strike pose:1.2), weapon swing, punch or kick, attack motion, dynamic combat, action moment, fighting pose with impact","static, standing, bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality","Combat strike pose. Combos: CHARACTER_Action_Shot; EFFECTS_Motion_Blur; THEME_Action_Thriller.","POSE"
"POSE_Arms_Above_Head","(arms above head:1.3), (hands raised overhead:1.2), arms stretched upward, arms raised pose, overhead stretch","arms down, arms at sides","Arms raised above head. Dance, stretch or expressive context. Combos: POSE_Jump_Midair; ACTIVITY_Dancing; EXPRESSION_Laughing.","POSE"
"POSE_Arms_Crossed","(arms crossed:1.2), crossed arms pose, defensive stance, arms folded, assertive arms crossed, closed body language","open arms, reaching out, relaxed","Arms crossed stance. Combos: MOOD_Confident; ARCHETYPE_Office_Lady; EXPRESSION_Smug. Strong character personality.","POSE"
"POSE_Arms_Raised","1girl, (arms raised:1.2), hands above head, arms up, celebrating or stretching, raised arms","arms down","Joy or stretch. Combos: ACTIVITY_Dancing; EXPRESSION_Laughing.","POSE"
"POSE_Back_Arch","(arched back:1.2), back bend, chest out arch, dramatic arch, spine curve, elegant arch","slouching, hunched, sitting","Arched back pose. Combos: ARCHETYPE_Belly_Dancer; ACTIVITY_Dancing; MOOD_Confident; BODY_Hourglass_Perfect.","POSE"
"POSE_Back_To_Camera","1girl, (facing away:1.3), back to viewer, seen from behind, rear view, turning away from camera","facing forward, front view","Atmospheric. Combos: SCENE_Mountain_Top; SCENE_Rooftop_Night; MOOD_Melancholic.","POSE"
"POSE_Casting_Spell","(spell casting pose:1.2), hands raised with energy, magical hand gesture, power emanating, magic circle around hands, arcane pose","bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality","Spellcasting pose. Combos: ARCHETYPE_Male_Mage; ARCHETYPE_Witch; ACTIVITY_Magic_Casting.","POSE"
